Titre,mots clés,labs,Description,émergence féminismes,émergence humanlab,futurs désirables,Personne,LienRessource,Date,image
Créer des images avec Processing,"processing,code créatif,image,graphisme","codelab,printlab",,false,false,false,emoc,https://lesporteslogiques.net/openatelier/journal/20180918,2018-09-18,
Le kit du détective numérique,"image,photo,trucage","randomlab,printlab",Trucages d'image et détection de photos retouchées,false,false,false,emoc,https://lesporteslogiques.net/openatelier/journal/20180925,2018-09-25,
Pure Data,"musique,audio,modulaire,code créatif,pure data","codelab,radiolab",,false,false,false,emoc,https://lesporteslogiques.net/openatelier/journal/20181002,2018-10-02,
"HTML, le langage du web","html,web,internet",codelab,,false,false,false,emoc,https://lesporteslogiques.net/openatelier/journal/20181009,2018-10-09,
"Arduino, kesako ?","électronique,arduino,interaction",electroniklab,,false,false,false,emoc,https://lesporteslogiques.net/openatelier/journal/20181023,2018-10-23,
Mail-me please,"mail,internet,communication",randomlab,"Est-ce que je peux sortir de gmail, yahoo, hotmail pour communiquer avec d'autres$2 Est-ce que je peux avoir mon mail à moua $3 Ouiiii",false,false,false,Laure,https://lesporteslogiques.net/openatelier/journal/20181030,2018-10-30,
Culture hacker,"hacker,internet",codelab,,false,false,false,emoc,https://lesporteslogiques.net/openatelier/journal/20181106,2018-11-06,
What's in a computer ?,"computer,hardware",randomlab,Voyage dans le hardware,false,false,false,emoc,https://lesporteslogiques.net/openatelier/journal/20181113,2018-11-13,
Surfer sur la toile,"internet,web",randomlab,"Moteurs de recherche, GAFAM et BATX, archivage et cartographie du web",false,false,false,emoc,https://lesporteslogiques.net/openatelier/journal/20181120,2018-11-20,
Terminal,linux,"codelab,randomlab",La vie sans icônes,false,false,false,emoc,https://lesporteslogiques.net/openatelier/journal/20181127,2018-11-27,
Automatonism,"pure data,musique,modulaire,code créatif","codelab,radiolab",Un synthé modulaire construit avec Pure Data,false,false,true,emoc,https://lesporteslogiques.net/openatelier/journal/20181204,2018-12-04,
Qu'est ce qu'un OS,"computer,linux,logiciel",codelab,aka Système d'Exploitation,false,false,false,emoc,https://lesporteslogiques.net/openatelier/journal/20181211,2018-12-11,
Cyberespace,"cyberespace,internet,web",randomlab,,false,false,false,emoc,,2018-12-18,
"Markdown, qui es-tu ?",markdown,codelab,,false,false,false,Simon,,2019-01-08,
Librazik,"musique,logiciel",radiolab,,false,false,true,6ril,,2019-01-15,
Cyberféminisme,"cyberféminisme,féminisme",codelab,"Quelle place du féminisme dans la culture cyber et quelle place du cyber dans la culture féministe, tentative de définitions",true,false,false,Laure,https://lesporteslogiques.net/openatelier/journal/20190122,2019-01-22,
"Impression 3D : machines, matériaux et fabrication","impression 3D,fablab",randomlab,,false,false,false,emoc,,2019-01-29,
Tara Rodgers et la synthèse sonore,"synthèse sonore,art",radiolab,,true,false,false,ortie,https://lesporteslogiques.net/openatelier/journal/20190205,2019-02-05,
Processing Community Days,"processing,code créatif,communauté","codelab,printlab",Demie journée d'initiation à Processing,false,false,true,emoc,,2019-02-05,
Circuit bending,"circuit bending,électronique,musique","radiolab,electroniklab",,false,false,false,Thomas Bernardi,,2019-02-19,
T'as vu ta tronche ? Gimp pour éditer et retoucher des images,"gimp,image,graphisme,logiciel",printlab,La petite histoire du photo-montage,false,false,false,Laure,,2019-03-05,
La face cachée du web,web,randomlab,,false,false,false,Jumbef,,2019-03-12,
Musique DIY : les cartes audio électronique,"musique,électronique,interaction","radiolab,electroniklab","Bela / Mozzi / Axoloti / Pisound, etcetc.",false,false,true,emoc,,2019-03-19,
Le TOP50 des algorithmes,"algorithme,machine learning",codelab,,false,false,false,emoc,,2019-03-26,
FREECAD : au service de la modélisation 3D,"impression 3D,3D,logiciel",randomlab,conception d'objets pour le monde réel,false,true,true,GrandK,https://lesporteslogiques.net/openatelier/journal/20190402,2019-04-02,
Récup' de batteries lithium,"récupération,électronique",electroniklab,,false,false,true,Gweltou,,2019-04-09,
Comprendre le son,"synthèse sonore,audio",radiolab,,false,false,true,6ril,,2019-04-23,
"PYTHON : programmer, ce n'est pas que pour les reptiles",python,codelab,,false,false,true,Gweltou,,2019-04-30,
Serveur maison et auto-hébergement,"serveur,hébergement,internet","codelab,randomlab",,false,false,false,Gweltou,,2019-05-07,
"Femmes artistes numériques, artistes numériques féministes","féminisme,art",randomlab,Découvrir les femmes artistes numériques d'hier à aujourd’hui et questionner la place des femmes artistes dans le monde numérique,true,false,false,Laure,https://lesporteslogiques.net/openatelier/journal/20190514,2019-05-14,
"VCV RACK, ouvrir l'armoire de la musique électronique","musique,modulaire",radiolab,,false,false,true,emoc,,2019-05-21,
Le modèle économique des jeux vidéo gratuits,jeu vidéo,randomlab,,false,false,true,Lucie,,2019-05-28,
"BLENDER, mixeur d'images numériques avec un zeste de créativité","logiciel,image,3D","printlab,randomlab",,false,false,false,JC,,2019-06-04,
La trousse à outils du bricolage numérique,"bricolage,fablab",randomlab,"Découvrir les outils numériques disponibles en fablab ",false,false,false,Laure,,2019-06-11,
"MASTODON, le petit animal social pour communiquer en réseau","communauté,internet,communication",randomlab,,false,false,false,Jumbef,,2019-06-18,
"Intelligence artificielle, mon assistant personnel et moi...","algorithme,machine learning,intelligence artificielle","codelab,randomlab",,false,false,true,emoc,,2019-06-25,
