"Titre","mots clés","labs","Description","émergence féminismes","émergence humanlab","futurs désirables","Personne","Lien ressource","Date","Image"
"Typographie, histoire des techniques 1","culture,computer,graphisme,art","printlab,randomlab",,"false","false","false","Guimel",,"2019-09-24",
"Clavardage : you've got a message : IRC, Discord, Mastodon...","communauté,internet,communication,rgpd,cyberespace,réseaux sociaux,web,vie privée","randomlab",,"false","false","false","Piero",,"2019-10-01",
"Initiation au code créatif et au livecoding","code créatif,livecoding,algorithme,internet,interactif,lab,art","codelab,radiolab",,"false","false","true","emoc",,"2019-10-08",
"Décryptage : le RGPD, qu'est-ce que c'est","rgpd,vie privée,web","randomlab",,"false","false","false","Laska",,"2019-10-15",
"Voxels, du pixel art en 3D","3D,art,pixel","printlab",,"false","false","false","Jumbef",,"2019-10-22",
"Livecoding avec Foxdot et Troop","musique,interactif,foxdot,livecoding","radiolab,codelab",,"false","false","true","emoc",,"2019-10-29",
"Voyage dans l'ExSitu - BackUp","recherche,art","randomlab",,"false","false","false","ex-situ",,"2019-11-05",
"Textile et tricot numérique","e-textile,textile numérique,électronique,interactif","textilelab",,"true","false","false","Paty,Laure",,"2019-11-12",
"Darkweb, deepweb","web,deepweb,darkweb,culture,internet","randomlab",,"false","false","false","emoc",,"2019-11-19",
"Datamoshing et déformation de l'image numérique","datamoshing,image,déformation","printlab",,"false","false","false","Gweltou",,"2019-11-26",
"Culture féministe dans un monde de geek","communauté,féminisme,cyberféminisme,cyberharcèlement","bibliothèque des imaginaires,randomlab",,"true","false","false","Laure",,"2019-12-04",
"Microphone vs. Haut-Parleur","audio,musique,électronique","radiolab",,"false","false","true","6ril",,"2019-12-10",
"Computer Vision et Reconnaissance faciale","algorithme,machine learning,intelligence artificielle","codelab,randomlab",,"false","false","true","emoc",,"2019-12-17",
"Pixel art, histoire du petit carré","pixel,art","randomlab",,"false","false","false","Jumbef",,"2020-01-07",
"Transhumanisme, humain, post-humain","transhumanisme","randomlab",,"false","true","false","Djéméli",,"2020-01-14",
"Les données de la santé, la santé des données","big data,santé,vie privée,rgpd","randomlab,humanlab",,"false","false","false","Laska",,"2020-01-21",
"Jeu vidéo non-sexiste","féminisme,jeu vidéo,cyberféminisme","bibliothèque des imaginaires",,"true","false","false","Laure,Jumbef",,"2020-01-28",
"Séance de désenvoûtement numérique","ésotérisme,vie privée,internet,big data,récupération","randomlab,bibliothèque des imaginaires",,"false","false","false","Professeure Lovelace",,"2020-02-04",
"Krita, le dessin numérique","logiciel,dessin","printlab",,"false","false","false","JC",,"2020-02-11",
"Les clés du chiffrement","internet","randomlab",,"true","false","false","GrandK",,"2020-02-18",
"Numérique et handicap","culture,communauté,internet","humanlab",,"false","true","false","6ril,Elisabeth,Marie-Noëlle",,"2020-02-25",
"Musique électronique avec Orca et Sonic Pi","musique,électronique,livecoding","radiolab",,"false","false","true","emoc",,"2020-03-10",
